VENTA_ID|CAJERO_ID|COMPRADOR_ID|FECHA_VENTA|MONTO_TOTAL|CODIGO_PRODUCTO|NOMBRE_PRODUCTO|CODIGO_FAMILIA|NOMBRE_FAMILIA|CANTIDAD
365|3|466|01/09/19 15:34:45,000000000|Q.2750-.|7805040002280|* TRIAL * TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
365|3|415|01/09/19 15:34:45,000000000|Q.2750-.|7802200266032|JUGO VIVO SABOR DURAZNO 1L 8g|8|JUGOS-NECTAR|5,0
365|3|426|01/09/19 15:34:45,000000000|Q.2750-.|7802950006766|CREMA SABOR POLLO MAGGI 72g|1|OFERTAS ESPECIALES|1,0
366|2|200|01/09/19 15:34:50,000000000|Q.-1200.|7802640600397|KETCHUP JB 500g|1|OFERTAS ESPECIALES|1,0
367|3|377|01/09/19 15:39:30,000000000|Q.-1250.|7801610002285|* TRIAL * TRIAL * TR|11|BEBIDAS COCA COLA|1,0
368|2|358|01/09/19 15:38:12,000000000|Q.-1250.|7801610001295|* TRIAL * TRIAL * TRIAL * TRIAL *|11|BEBIDAS COCA COLA|1,0
370|3|436|01/09/19 15:45:41,000000000|Q2500|7613032414580|CREMA DE LECHE NESTLE 157g|1|OFERTAS ESPECIALES|1,0
370|3|211|01/09/19 15:45:41,000000000|Q2500|7805000301484|MAYONESA HELLMANN`S 93g.|1|OFERTAS ESPECIALES|1,0
373|3|481|01/09/19 15:46:58,000000000|Q.-1700.|7801620001223|KEM DESECHABLE 3L|1|OFERTAS ESPECIALES|1,0
379|2|454|01/09/19 15:57:24,000000000|Q.-1050.|7702018880409|* TRIAL * TRIAL * T|1|OFERTAS ESPECIALES|1,0
382|2|317|01/09/19 16:10:38,000000000|Q.11750-.|7802900050078|* TRIAL * TRIAL * TRIAL |13|LÁCTEOS|1,0
382|2|386|01/09/19 16:10:38,000000000|Q.11750-.|7801430160493|SAL ECONOMICA ARUBA 1K.|1|OFERTAS ESPECIALES|1,0
382|2|49|01/09/19 16:10:38,000000000|Q.11750-.|7808731300450|MC ORANGE 3L.|1|OFERTAS ESPECIALES|1,0
384|2|195|01/09/19 16:12:40,000000000|Q.2850-.|7802337801014|* TRIAL * TRIAL * TRIAL * T|8|JUGOS-NECTAR|1,0
385|3|223|01/09/19 16:12:46,000000000|Q.6400-.|7809611710604|CHURRASCO DE POLLO SUPER POLLO 90g 3UN.|1|OFERTAS ESPECIALES|3,0
385|3|457|01/09/19 16:12:46,000000000|Q.6400-.|7801907001649|HAMBURGUESA DE VACUNO SAN JORGE 100g.|1|OFERTAS ESPECIALES|4,0
